topic_id,label_topik,n_docs_total,n_years_present,slope,p_value,r_squared,prop_mean,prop_last_year,tren
0,Topik_0,1306,13,-0.006379,0.0447,0.3181,0.13071,0.094,Declining
1,Topik_1,555,13,-0.00312,0.1171,0.2081,0.05561,0.072,Stabil
2,Topik_2,468,13,-0.000315,0.7794,0.0074,0.04287,0.03,Stabil
3,Topik_3,381,13,0.000452,0.7021,0.0138,0.03491,0.03,Stabil
4,Topik_4,357,13,0.006553,0.0,0.8516,0.03727,0.084,Emerging
5,Topik_5,220,13,0.002426,0.0004,0.6943,0.02103,0.034,Emerging
6,Topik_6,217,12,-0.003212,0.0058,0.5489,0.02074,0.004,Declining
7,Topik_7,186,13,0.000749,0.0597,0.286,0.01866,0.024,Stabil
8,Topik_8,184,13,-0.001389,0.0244,0.382,0.01825,0.004,Declining
9,Topik_9,176,13,-0.000928,0.0207,0.3982,0.01599,0.01,Declining
10,Topik_10,166,13,-9.1e-05,0.8737,0.0024,0.01555,0.008,Stabil
11,Topik_11,164,13,-0.000583,0.1665,0.1664,0.01512,0.014,Stabil
12,Topik_12,151,13,0.000587,0.2896,0.1011,0.0138,0.018,Stabil
13,Topik_13,141,13,0.001133,0.0635,0.2791,0.01313,0.028,Stabil
14,Topik_14,138,13,-0.000838,0.0699,0.2682,0.01256,0.01,Stabil
15,Topik_15,135,13,0.000469,0.3292,0.0866,0.01261,0.01,Stabil
16,Topik_16,131,13,0.000143,0.7265,0.0116,0.01259,0.02,Stabil
17,Topik_17,130,13,0.000677,0.1319,0.1941,0.01276,0.012,Stabil
18,Topik_18,128,12,0.001544,0.0016,0.648,0.01324,0.022,Emerging
19,Topik_19,128,13,0.000459,0.04,0.33,0.01223,0.02,Stabil
20,Topik_20,120,13,-0.000748,0.0115,0.4548,0.01115,0.002,Declining
21,Topik_21,119,12,0.000374,0.213,0.1503,0.01192,0.012,Stabil
22,Topik_22,116,8,-0.007286,0.1555,0.3053,0.01992,0.00118,Stabil
23,Topik_23,112,7,0.000948,0.8196,0.0114,0.02471,0.002,Stabil
24,Topik_24,111,13,0.002108,0.0005,0.687,0.01136,0.03,Emerging
25,Topik_25,109,13,0.001423,0.0129,0.444,0.01077,0.02,Emerging
26,Topik_26,102,13,0.000299,0.5906,0.0272,0.00874,0.008,Stabil
27,Topik_27,97,9,0.000375,0.723,0.0191,0.01158,0.00353,Stabil
28,Topik_28,96,13,0.001901,0.0868,0.2432,0.01096,0.06,Stabil
29,Topik_29,94,12,-0.000515,0.3973,0.0725,0.01026,0.01,Stabil
30,Topik_30,93,13,0.001069,0.0009,0.6476,0.00945,0.016,Emerging
31,Topik_31,92,12,-0.001688,0.0001,0.7907,0.00906,0.00118,Declining
32,Topik_32,92,12,-0.00059,0.1499,0.1956,0.00941,0.008,Stabil
33,Topik_33,90,13,-0.000326,0.3941,0.0667,0.00841,0.004,Stabil
34,Topik_34,87,12,-0.000871,0.1426,0.2021,0.00815,0.00118,Stabil
35,Topik_35,84,13,-0.000261,0.3639,0.0754,0.00829,0.01,Stabil
36,Topik_36,81,10,0.000255,0.6925,0.0206,0.00824,0.00941,Stabil
37,Topik_37,79,13,0.000785,0.0658,0.275,0.00769,0.01,Stabil
38,Topik_38,77,11,-0.00038,0.3073,0.1152,0.00761,0.00588,Stabil
39,Topik_39,77,13,-0.000385,0.0946,0.2332,0.00728,0.002,Stabil
40,Topik_40,75,11,-5.5e-05,0.9295,0.0009,0.00729,0.006,Stabil
41,Topik_41,74,11,-0.000797,0.0739,0.3123,0.0073,0.00235,Stabil
42,Topik_42,73,12,-0.000132,0.6444,0.0221,0.0073,0.008,Stabil
43,Topik_43,72,13,-7.3e-05,0.8336,0.0042,0.00634,0.004,Stabil
44,Topik_44,71,13,-0.000798,0.0113,0.4564,0.00704,0.006,Declining
45,Topik_45,69,13,0.000991,0.0019,0.6001,0.00674,0.012,Emerging
46,Topik_46,65,12,-0.000289,0.2957,0.1085,0.0061,0.004,Stabil
47,Topik_47,64,12,5.1e-05,0.8508,0.0037,0.00662,0.006,Stabil
48,Topik_48,63,12,-0.000292,0.4147,0.0675,0.00594,0.006,Stabil
49,Topik_49,63,10,-0.000194,0.6545,0.0263,0.00661,0.00471,Stabil
50,Topik_50,62,13,0.000427,0.0742,0.2613,0.00639,0.008,Stabil
51,Topik_51,62,13,-3.5e-05,0.8693,0.0026,0.00603,0.002,Stabil
52,Topik_52,62,13,-0.00048,0.1086,0.2171,0.00602,0.004,Stabil
53,Topik_53,62,12,7.1e-05,0.7177,0.0136,0.00601,0.002,Stabil
54,Topik_54,61,13,0.000364,0.0711,0.2662,0.00585,0.008,Stabil
55,Topik_55,60,13,0.000586,0.0119,0.4516,0.00589,0.006,Stabil
56,Topik_56,60,13,-0.00049,0.0563,0.2926,0.00607,0.004,Stabil
57,Topik_57,58,11,-0.000516,0.0287,0.4292,0.00591,0.002,Stabil
58,Topik_58,56,12,-0.000296,0.295,0.1088,0.00572,0.006,Stabil
59,Topik_59,53,11,0.000476,0.2188,0.1626,0.00544,0.00706,Stabil
60,Topik_60,53,13,-0.000261,0.1392,0.1877,0.00466,0.002,Stabil
61,Topik_61,52,12,0.00025,0.344,0.0898,0.00536,0.002,Stabil
62,Topik_62,52,10,0.001042,0.0249,0.4868,0.00662,0.012,Emerging
63,Topik_63,50,9,-0.0004,0.4651,0.0785,0.00553,0.002,Stabil
64,Topik_64,49,13,0.000315,0.2428,0.1216,0.00438,0.004,Stabil
65,Topik_65,49,13,-4e-06,0.9797,0.0001,0.00426,0.004,Stabil
66,Topik_66,48,12,0.000278,0.3273,0.0959,0.00466,0.00471,Stabil
67,Topik_67,47,10,-0.0008,0.0245,0.4888,0.0053,0.00235,Declining
68,Topik_68,46,11,-8.1e-05,0.7715,0.0099,0.00461,0.004,Stabil
69,Topik_69,46,13,0.000336,0.0923,0.236,0.00473,0.004,Stabil
70,Topik_70,46,11,-0.000238,0.2566,0.1402,0.00463,0.002,Stabil
71,Topik_71,45,13,0.000453,0.0115,0.4549,0.00445,0.006,Stabil
72,Topik_72,45,10,0.000426,0.1729,0.2187,0.00537,0.01176,Stabil
73,Topik_73,44,11,-0.000377,0.0249,0.4451,0.00481,0.00588,Stabil
74,Topik_74,43,10,-0.000368,0.3113,0.1274,0.00571,0.004,Stabil
75,Topik_75,43,12,-3.1e-05,0.9068,0.0014,0.00494,0.004,Stabil
76,Topik_76,42,11,0.000139,0.5217,0.0471,0.00426,0.006,Stabil
77,Topik_77,42,9,-0.000364,0.4927,0.0696,0.00476,0.00235,Stabil
78,Topik_78,42,13,0.000239,0.0585,0.2882,0.004,0.008,Stabil
79,Topik_79,42,12,0.000102,0.5047,0.0457,0.0043,0.006,Stabil
80,Topik_80,41,9,-0.000438,0.1323,0.293,0.00475,0.00145,Stabil
81,Topik_81,41,11,-4e-06,0.9831,0.0001,0.00474,0.006,Stabil
82,Topik_82,41,12,0.000742,0.0048,0.5649,0.00467,0.01,Emerging
83,Topik_83,40,10,0.001471,0.001,0.758,0.00572,0.018,Emerging
84,Topik_84,39,8,0.001287,0.0183,0.6325,0.00676,0.012,Emerging
85,Topik_85,39,10,-8.9e-05,0.7571,0.0126,0.0042,0.00118,Stabil
86,Topik_86,38,13,0.000385,0.0313,0.3563,0.00397,0.008,Stabil
87,Topik_87,38,12,0.000128,0.5505,0.0368,0.00374,0.002,Stabil
88,Topik_88,38,12,-0.000509,0.1239,0.2201,0.00404,0.002,Stabil
89,Topik_89,37,11,0.000267,0.2911,0.1226,0.00461,0.006,Stabil
90,Topik_90,36,12,-0.000285,0.2459,0.1319,0.00347,0.002,Stabil
91,Topik_91,35,9,0.000395,0.3237,0.1386,0.00431,0.00941,Stabil
92,Topik_92,35,8,-0.00057,0.472,0.0894,0.00473,0.002,Stabil
93,Topik_93,34,12,-7.7e-05,0.4535,0.0573,0.00337,0.004,Stabil
94,Topik_94,34,13,-4.6e-05,0.7163,0.0125,0.00332,0.002,Stabil
95,Topik_95,34,12,4.3e-05,0.8462,0.0039,0.00365,0.002,Stabil
96,Topik_96,33,10,-0.000229,0.3472,0.1109,0.00408,0.00145,Stabil
97,Topik_97,33,13,0.000164,0.2114,0.138,0.00344,0.006,Stabil
98,Topik_98,33,10,-0.000425,0.0314,0.459,0.00367,0.00118,Stabil
99,Topik_99,33,8,-0.000398,0.1206,0.3527,0.00438,0.00118,Stabil
100,Topik_100,30,11,7.8e-05,0.6591,0.0226,0.00315,0.006,Stabil
101,Topik_101,28,8,0.000437,0.3184,0.1647,0.00456,0.00118,Stabil
102,Topik_102,27,10,-7e-06,0.9771,0.0001,0.00332,0.00235,Stabil
103,Topik_103,27,12,0.000242,0.0708,0.2901,0.00298,0.004,Stabil
104,Topik_104,26,11,-9.7e-05,0.6629,0.0221,0.00271,0.00118,Stabil
105,Topik_105,25,6,-0.000326,0.3876,0.19,0.00474,0.002,Stabil
