Topic,Words,Frequency,Timestamp
-1,"ecommerce, diagram, application ecommerce, dfd, flow diagram",278,2012.988
0,"elearning, guru, ajar ajar, guru siswa, materi ajar",145,2012.988
1,"application main, application game, game, musuh, game edukasi",82,2012.988
2,"kedelai, tani, sumatera, lahan, hama sakit",15,2012.988
3,"objek wisata, turis, tourism, wisata, guide",19,2012.988
4,"css, desain website, ubuntu, lift ratio, lift",6,2012.988
5,"tweet, pesan singkat, stemming, morfologi, kategori kategori",2,2012.988
6,"creation, pasok, prima, supplier, bogor",16,2012.988
7,"ruas jalan, rencana bangun, ruas, duduk desa, bappeda",12,2012.988
8,"kerja karyawan, calon pegawai, dss, sub, karyawan",20,2012.988
9,"film, download, gadget, tayang, smartphone",15,2012.988
10,"olahraga, fitness, panel, bugar, departemen",6,2012.988
11,"ehealth, dinas sehat, puskesmas, klinik, sehat",14,2012.988
12,"macet, bentuk peta, information sumber, mining algoritma, peta",1,2012.988
13,"kuliner, produktifitas, rangkai, praktikum, projek",2,2012.988
14,"lihat, forward chaining, chaining, balita, forward",5,2012.988
15,"kacamata, augmented reality, augmented, realitas, reality",5,2012.988
16,"wayang kulit, viola, jones, training training, sel",5,2012.988
17,"iklan, daily, lelang, ecommerce, katalog",13,2012.988
18,"string, eja, text, feature selection, struktur kalimat",2,2012.988
19,"ruang warna, marker, deteksi marker, segmentasi citra, antuk",5,2012.988
20,"arab, doa, bahasa arab, hafal, islam",15,2012.988
22,"gambar model, ecommerce, application ecommerce, diagram, toko",98,2012.988
24,"missing value, missing, klasifikasi kualitas, value, obyektif",3,2012.988
25,"futsal, information akuntansi, manajerial, akuntansi, lapang",5,2012.988
26,"momentum, profit, variasi latih, saham, backpropagation",3,2012.988
27,"jitter, first first, first, fifo, rem",1,2012.988
28,"firewall, flood, ancam, port, embedded",7,2012.988
30,"tunai, bayar uang, information sarana, siswa tua, barcode",1,2012.988
31,"tebu, algoritma fuzzy, atur asosiasi, fuzzy inference, atur atur",9,2012.988
32,"kbps, ptiik, bit, bandwith, aes",5,2012.988
33,"sunda, aksara, mandarin, bahasa inggris, inggris",5,2012.988
34,"ternak, sakit tular, sakit serang, pakar user, pemrograman mysql",1,2012.988
35,"isolation, hierarchical, algoritma cari, nodes, list",8,2012.988
36,"robot, representasi tahu, meja, sandang, antar",1,2012.988
37,"orm, query, object, query language, object oriented",2,2012.988
39,"customer service, cerita rakyat, beli barang, rakyat, produktifitas",5,2012.988
41,"jadwal ajar, genetic algorithm, genetic, crossover probabilitas, perhati aspek",2,2012.988
42,"encryption, plaintext, cryptography, embedded, algoritma cryptography",9,2012.988
43,"sambung, periksa, back end, kabupaten bandung, momentum",2,2012.988
44,"sejarah, budaya, budaya indonesia, bangsa indonesia, juang",11,2012.988
45,"spectral, laki perempuan, fourier, laki, gender",2,2012.988
46,"rencana laksana, proyek, manajemen proyek, laksana giat, cepat hitung",4,2012.988
47,"bengkel, floydwarshall, daftar butuh, mobilitas, transportasi",2,2012.988
48,"makan sehat, menu makan, butuh gizi, makan konsumsi, makan ringan",2,2012.988
50,"dealer, lift, rule, lift ratio, rule hasil",4,2012.988
51,"information buku, buku, pustaka, subjek, rule hasil",5,2012.988
52,"application kategori, nilai application, bencana, gunung, mknn",4,2012.988
53,"musik, nada, alat musik, teori, kelas klasifikasi",4,2012.988
54,"cloud computing, computing, daya komputasi, cpu, fisik",2,2012.988
55,"pribadi, stres, bidang ahli, tingkat motivasi, teori",3,2012.988
56,"bengkel, surya, cat, motor, mandiri",4,2012.988
59,"prediksi rating, film, rating, mae, akurasi prediksi",1,2012.988
60,"koran, berita, derajat anggota, information berita, media cetak",6,2012.988
61,"buang sampah, sampah, buang, pamer, maker",2,2012.988
64,"blood, behavior, heart, jantung koroner, koroner",2,2012.988
65,"cuaca, preparation, kondisi cuaca, mart, information kondisi",3,2012.988
66,"matahari, interval, energi, interpolasi, sekunder",1,2012.988
67,"kompresi, sms, kirim sms, selular, bit",9,2012.988
68,"darah, pmi, sel darah, sel, merah",3,2012.988
69,"akar, menu, kuliner, kota bandung, restoran",2,2012.988
70,"dokumen cari, cari dokumen, dokumen, dokumen latih, ontologi",3,2012.988
71,"gereja, kristen, umat, xyz, diskusi",2,2012.988
73,"kredit, tagih, nasabah, angsur, finance",5,2012.988
74,"distro, ecommerce, application ecommerce, brand, butik",12,2012.988
75,"ada barang, barang jasa, kelola teknologi, information ada, ada",7,2012.988
76,"mysql server, halaman web, ajax, load balancing, balancing",2,2012.988
78,"fknn, komplikasi, diabetes, jst, fuzzy knearest",2,2012.988
79,"gigi, mulut, jaga sehat, klinik, memberitahukan",3,2012.988
80,"dtn, kirim file, pencil, daerah pencil, raspberry",2,2012.988
81,"kanker, tahan hidup, atur fuzzy, cluster, clustering",3,2012.988
86,"zakat, duduk desa, duduk, information bidang, butuh manusia",4,2012.988
87,"anjing, ras, jenis jenis, erti, ragam",1,2012.988
89,"rumah makan, makan milik, mesan online, makan, rumah",1,2012.988
90,"gps, assisted, titik koordinat, koordinat, tracking",2,2012.988
93,"unikom, parkir, subsistem, gerbang, application identifikasi",2,2012.988
94,"properti, calon beli, cari rumah, rumah, dukung putus",3,2012.988
95,"nikah, promethee, acara, perlu, vendor",1,2012.988
96,"klinik, dinas sehat, kabupaten bandung, apotek, medical",3,2012.988
97,"mudah usaha, nota, konsumen milik, information tangan, produk transaksi",3,2012.988
98,"sisip, citra medis, steganografi, digital signature, sembunyi",5,2012.988
101,"kartu kredit, tunggak, nasabah, forecast, angsur",2,2012.988
102,"matematika, masyarakat luas, ajar matematika, ajak, manfaat maju",1,2012.988
103,"perkasa, sewa mobil, mobil, rental, rental mobil",1,2012.988
104,"kucing, dokter hewan, information sakit, information solusi, bidang dokter",1,2012.988
-1,"batik, poster, roti, outlier, barang inventaris",264,2013.923
0,"guru, materi, guru siswa, materi ajar, elearning",129,2013.923
1,"npc, game, main, formasi, musuh",78,2013.923
2,"tanam, komoditas, putri, tani, pangan",18,2013.923
3,"directory, tourism, pancing, wisata, daki",18,2013.923
4,"html5, mvc, halaman, rektor, user akses",9,2013.923
5,"jejaring, jejaring sosial, kuliner, politik, wisata kuliner",6,2013.923
6,"bahan baku, baku, produksi, distributor, barang produksi",44,2013.923
7,"ruas jalan, ruas, mail, optik, arsip",13,2013.923
8,"buruh, pegawai, kerja pegawai, pangkat, calon karyawan",22,2013.923
9,"tablet, official, handphone, tas, club",15,2013.923
10,"fitness, basket, klub, futsal, bola",11,2013.923
11,"puskesmas, rumah sakit, information pegawai, dinas sehat, dokter",18,2013.923
12,"nyala lampu, borobudur, nyala, plat nomor, lampu",4,2013.923
13,"blender, siakad, linux, matriks, kali",4,2013.923
14,"diare, sakit kulit, kulit, bakteri, application pakar",12,2013.923
15,"virtual reality, denah, reality, pustaka, taman",4,2013.923
16,"wajah, kenal wajah, ekspresi wajah, citra wajah, corner",6,2013.923
17,"situs ecommerce, trust, rata persentase, attitude, ecommerce",5,2013.923
19,"fotografi, sift, hobi, deteksi warna, warna",10,2013.923
20,"tajwid, haji, ayat, android operasi, huruf",10,2013.923
21,"pancing, ikan, lift ratio, lift, disposisi",5,2013.923
22,"contour, distro, application ecommerce, ecommerce, try",11,2013.923
24,"npc, neighbour, pso, knearest neighbour, algoritma knearest",3,2013.923
25,"projek, house, konsultan, spare, bisnis jalan",4,2013.923
26,"ambang, foreign, close, beda tingkat, baik latih",1,2013.923
28,"firewall, jenis serang, injection, scripting, ancam",6,2013.923
29,"laksana teknis, bantu sosial, kelompok tani, sedia alat, kabupaten bandung",6,2013.923
30,"akuntansi, information akuntansi, atm, lapor uang, uang",5,2013.923
31,"fungsi anggota, logika fuzzy, logika, rokok, fuzzy",15,2013.923
32,"tcp, optik, trafik, streaming, qos",12,2013.923
33,"bahasa inggris, inggris, latin, lafal, ajar bahasa",15,2013.923
34,"sapi, bal, warna kulit, ternak, kud",7,2013.923
35,"algoritma cari, string, banding algoritma, novel, deteksi warna",6,2013.923
36,"militer, tembak, robot, senjata, perang",1,2013.923
37,"query, eksekusi, olap, terbang, dynamic",3,2013.923
38,"board, smart home, milik rumah, lampu, nyala mati",4,2013.923
39,"padu, mall, npc, cms, sedia barang",8,2013.923
40,"bakar, hal, jiwa, teks suara, aman nyaman",1,2013.923
41,"buat jadwal, tabu, jadwal, bentrok, algoritma genetika",8,2013.923
42,"password, encryption decryption, cryptography, ukur file, decryption",3,2013.923
43,"lab, awas, kualitas air, kabupaten bandung, milik daerah",1,2013.923
44,"wayang, golek, tokoh, cerita, budaya",11,2013.923
45,"speech recognition, application server, speech, presentasi, application client",1,2013.923
48,"crossover probabilitas, probabilitas mutasi, gizi, probabilitas crossover, probabilitas",3,2013.923
49,"sink, zigbee, node, nirkabel, network nirkabel",2,2013.923
50,"lift ratio, lift, gali, asosiasi, frequent",4,2013.923
51,"seminar, pustaka, barcode, panitia, koleksi",3,2013.923
52,"tsunami, gempa, gempa bumi, bumi, prasyarat",6,2013.923
53,"lagu, musik, nada, nasional, anak remaja",4,2013.923
54,"copy, storage, migrasi, disk, raw",1,2013.923
55,"pribadi, mobile android, professional, tingkah, cs6",1,2013.923
56,"dealer, sepeda, markerless, ramal, mobil",7,2013.923
57,"ayam, kandang, dempstershafer, bibit, sensitivitas",4,2013.923
58,"penuh kriteria, application penuh, balita, tingkat salah, gizi",1,2013.923
59,"film, tayang, anggota kelas, euclidean distance, euclidean",1,2013.923
60,"ubaya, majalah, minimal biaya, buang, minimal",1,2013.923
61,"sampah, bersih lingkung, bersih, truk, tps",5,2013.923
62,"marah, kasar, pitch, emosi, na bayes",3,2013.923
63,"traffic, monitoring network, raspberry, access point, download",1,2013.923
64,"detak jantung, detak, jantung, hitung application, ekg",1,2013.923
65,"curah hujan, hujan, curah, banjir, momentum",2,2013.923
66,"sektor industri, listrik, butuh energi, simulasi network, taraf",2,2013.923
67,"kompresi, sms, sandi, rsa, ponsel",5,2013.923
68,"kadaluarsa, darah, pmi, fuzzy knn, ginjal",3,2013.923
69,"coffee, green, giat operasional, bahasa model, catat pesan",1,2013.923
70,"dokumen latih, cari dokumen, dokumen, dokumen relevan, vector space",5,2013.923
71,"umat, gereja, searching, mudah aman, server bahasa",1,2013.923
72,"voting, mungut, confidentiality, suara, tps",5,2013.923
73,"kredit, finance, mohon, putus beri, layak",5,2013.923
74,"milik toko, information detail, sepatu, fashion, toko",4,2013.923
75,"maturity level, maturity, kelola teknologi, madam, tata kelola",3,2013.923
78,"lihat, sebab ubah, fmeasure akurasi, subyektif, obyektif",1,2013.923
79,"registrasi, butuh deteksi, reference, contrast, abu",1,2013.923
80,"infrastruktur network, direct, bandara, network nirkabel, ospf",5,2013.923
81,"kanker, sel, ekstrak, dna, tingkat resiko",7,2013.923
82,"lisan, eja, lazim, beberapa, pengunaan",1,2013.923
85,"pasuk, unjung, ruang, hak akses, hak",1,2013.923
86,"sejahtera, asuransi, jamin, table, buruh",1,2013.923
87,"anjing, identifikasi jenis, detil, application identifikasi, pakar identifikasi",1,2013.923
88,"pilih rute, rute, evolution strategies, evolution, strategies",3,2013.923
89,"rumah makan, ektp, echo, nota, restoran",6,2013.923
90,"atm, kompas, gps, cari lokasi, satelit",3,2013.923
93,"parkir, kosong, responden tuju, input output, brawijaya",2,2013.923
94,"property, indah, selera, rumah tinggal, butuh rumah",2,2013.923
95,"nikah, organizer, wedding, acara, siap",5,2013.923
96,"sedia obat, obat, farmasi, uptd, pantau sedia",6,2013.923
97,"stok barang, stok, barang habis, produksi jual, transaksi jual",2,2013.923
98,"steganografi, sisip, pixel, cryptography, sembunyi",2,2013.923
99,"terapi, cognitive, behaviour, disorder, akurasi pakar",3,2013.923
100,"afer, kurs, fuzzy time, time series, series",1,2013.923
101,"simpan pinjam, pinjam, koperasi, serba, kantor",1,2013.923
102,"ajar matematika, matematika, bangun ruang, siswa mudah, paham ajar",6,2013.923
104,"kucing, coba application, application pakar, deteksi sakit, nilai milik",1,2013.923
105,"fit, enterprise, gap, architecture, partial",5,2013.923
-1,"bank mandiri, dayak, laboratorium, museum, praktikum",233,2014.846
0,"fisika, elektronika, beasiswa, smk, serta didik",114,2014.846
1,"main, tahan hidup, tingkat sulit, player, game",33,2014.846
2,"satwa, cabai, tanam, langka, jenis tanam",31,2014.846
3,"tourism, directory, belitung, libur, salesman problem",8,2014.846
4,"persona, inap, antarmuka, antarmuka web, service web",12,2014.846
5,"sinergi, tweet, giat promosi, twitter, televisi",4,2014.846
6,"bahan baku, baku, produksi, bahan, sedia bahan",18,2014.846
7,"distro, kominfo, bangun desa, desa, kota cimahi",11,2014.846
8,"karyawan, sdm, teladan, terima karyawan, calon anggota",21,2014.846
9,"tablet, amp, kalender, spesifikasi, application kategori",8,2014.846
10,"klub, futsal, olahraga, bola, line",16,2014.846
11,"puskesmas, rumah sakit, tingkat matang, kabupaten blitar, dinas sehat",5,2014.846
12,"polisi, pos, rel, macet, lintas",11,2014.846
13,"agile, fase, sukses, graph, relasi",4,2014.846
14,"demam, gejala, diagnosa, paru, sakit kulit",12,2014.846
15,"kotak, application simulasi, vuforia, rak, maya",6,2014.846
16,"tekstur, citra latih, ciri, wajah, tanda tangan",15,2014.846
17,"jogja, jual online, toko online, kece, com",2,2014.846
18,"ringkas teks, dokumen teks, ringkas, linguistik, teks otomatis",1,2014.846
19,"lensa, kamera, psnr, camera, ambil citra",5,2014.846
20,"ibadah, arab, an, bahasa arab, islam",6,2014.846
21,"kota pasuruan, maritim, pasuruan, air tawar, ikan",4,2014.846
22,"kos, com, model ancang, alir, unikom",1,2014.846
23,"tingkat usabilitas, sesuai standar, jenis kelamin, tuju user, kelamin",1,2014.846
24,"ve bayes, ve, na ve, na, bayes",2,2014.846
25,"usaha capai, information usaha, bisnis usaha, olah lapor, usaha manfaat",1,2014.846
26,"saham, investor, tingkat untung, investasi, fuzzy ahp",4,2014.846
27,"endtoend delay, delay packet, endtoend, olsr, hoc",6,2014.846
28,"serang serang, firewall, serang, dos, jenis serang",4,2014.846
29,"miskin, keluarga, sejahtera, minta sedia, sasar",16,2014.846
30,"detik detik, pinjam dana, angsur, simpan pinjam, phase",4,2014.846
31,"harga jual, fknn, fuzzy, algoritma fuzzy, dki jakarta",11,2014.846
32,"download, protokol network, perangkat network, network perangkat, internet butuh",5,2014.846
33,"madura, jepang, ajar bahasa, tutur, bahasa inggris",4,2014.846
34,"sapi, ternak, bahan pakan, pakan, kelinci",10,2014.846
35,"kmeans, silhouette coefficient, coefficient, silhouette, centroid",10,2014.846
37,"query, lipat, mart, eksekusi, table",2,2014.846
38,"cahaya lampu, perangkat elektronik, remote control, smart home, algoritma kmeans",3,2014.846
39,"alat musik, interior, milik usaha, surat, application virtual",5,2014.846
40,"bakar, tentu status, gas, fire, kendara motor",2,2014.846
41,"jadwal ajar, asisten, crossover, number, jadwal",6,2014.846
42,"entropi, cryptography, steganografi, cipher, enkripsi",6,2014.846
43,"kualitas air, bendung, sungai, cemar, air",4,2014.846
44,"silat, bangsa, budaya, adat, wayang",8,2014.846
45,"aksara jawa, kenal suara, aksara, cabang ilmu, suara",1,2014.846
46,"proyek, uji layak, laksana proyek, estimasi, estimasi biaya",3,2014.846
47,"trayek, pilih mobil, bekas, angkut, pajak",5,2014.846
48,"gizi, butuh gizi, zat, gizi imbang, bahan makan",4,2014.846
49,"wsn, alamat, sensor network, wireless sensor, hutan",3,2014.846
50,"korelasi, beli sama, analisis korelasi, frequent itemset, information barang",3,2014.846
51,"pustaka, cari buku, buku, koleksi, buku pustaka",6,2014.846
52,"bencana, gempa, gempa bumi, bumi, bencana alam",11,2014.846
53,"alat musik, ajar alat, musik, kuis, tahap validasi",3,2014.846
54,"virtual machine, virtual, live, laboratorium, mesin",4,2014.846
55,"takut, pribadi, terapi, tanda tangan, lvq",3,2014.846
56,"sepeda, sepeda motor, bekas, motor, dealer",9,2014.846
57,"ayam, produktif, telur, pasti, supplier",4,2014.846
58,"status gizi, gizi, balita, status, tentu status",7,2014.846
60,"majalah, information kuliner, kuliner, tahu teknologi, application terap",2,2014.846
64,"detak jantung, detak, janin, jantung, performa akurasi",1,2014.846
65,"led, eror, detak, detak jantung, daki",1,2014.846
66,"pln, listrik, kota batu, akibat rugi, koefisien",2,2014.846
67,"short message, message service, short, message, sms",4,2014.846
68,"sms, darah, sms gateway, acara, ingat",1,2014.846
69,"kopi, sakit tanam, diagnosa sakit, devisa, milik harga",4,2014.846
70,"klasifikasi dokumen, threshold, dokumen latih, uji klasifikasi, latih dokumen",1,2014.846
71,"jemaat, gereja, umat, majalah, bina",3,2014.846
72,"legislatif, calon anggota, kampanye, information perangkat, application client",1,2014.846
73,"kredit, pruning, nasabah, pre, partisi",5,2014.846
75,"tingkat matang, maturity level, maturity, tata kelola, cobit",4,2014.846
76,"request, queue, idle, load, load balancing",1,2014.846
77,"kontroler, beacon, plane, network butuh, respon",1,2014.846
78,"diabetes, derita diabetes, pakar tingkat, derita, dunia indonesia",2,2014.846
81,"kanker, kualitas hidup, paru, tentu kualitas, sel",3,2014.846
82,"terjemah bahasa, isyarat, webcam, alfabet, terjemah",1,2014.846
86,"bal, ternak, application manfaat, sapi, fungsional unit",1,2014.846
88,"segmen, distribusi barang, distribusi, permutasi, truk",9,2014.846
89,"restoran, maintainability, notepad, functionality, intranet",2,2014.846
90,"daki, puncak, sesat, satelit, has",1,2014.846
91,"gesture, kinect, bedasarkan, application smart, gera tangan",1,2014.846
93,"parkir, slot, lahan, kosong, area parkir",3,2014.846
94,"information jual, strategi pasar, butuh rumah, properti, beli rumah",3,2014.846
96,"obat, uptd, date, kurang stok, sedia obat",2,2014.846
97,"barang harga, toko toko, milik sulit, bebas salah, beli barang",2,2014.846
98,"steganografi, sembunyi, sisip, mp3, berkas",3,2014.846
99,"ganggu, diagnosa, mesin inferensi, bangun pakar, psikologis",3,2014.846
100,"inflasi, emas, harga emas, fuzzy time, kurs",2,2014.846
102,"ajar matematika, matematika, interaktif ajar, ajar interaktif, siswa tingkat",2,2014.846
103,"car, transaksi sewa, rental, putra, surya",2,2014.846
104,"kucing, dokter hewan, sia, bulu, dokter",1,2014.846
-1,"crm, nfc, stroke, langgan, blog",317,2015.769
0,"siswa, materi, ipa, guru, prestasi",144,2015.769
1,"main, main main, main bola, buat main, basket",36,2015.769
2,"sakit tanam, hama sakit, tebu, tani, hama",57,2015.769
3,"wisata, kota cirebon, cirebon, daki, paket wisata",35,2015.769
4,"impact, sukses, banking, sri, mobile banking",15,2015.769
5,"tweet, twitter, jejaring sosial, spam, partai",13,2015.769
6,"bahan baku, baku, produksi, kontainer, pupuk",22,2015.769
7,"kota cimahi, kabupaten klaten, village, kampung, information desa",8,2015.769
8,"terima karyawan, pegawai, karyawan, daya manusia, putus terima",16,2015.769
9,"komik, foto, application anak, frame, revolusi",13,2015.769
10,"futsal, klub, olahraga, sepak bola, sepak",19,2015.769
11,"rumah sakit, awat, pasien rawat, pasien, rawat inap",11,2015.769
12,"tabrak, rel, simpang, kendara, lintas",14,2015.769
13,"kualitas perangkat, model kualitas, nilai kualitas, kode sumber, perangkat lunak",12,2015.769
14,"demam, tular, belief, seksual, paru",20,2015.769
15,"reality, gera kepala, augmented reality, augmented, virtual reality",15,2015.769
16,"tekstur, ciri, ciri tekstur, na bayes, ekstraksi ciri",10,2015.769
17,"commerce, semantic, barang langgan, bukalapak, mudah jual",8,2015.769
18,"ringkas, sense, kalimat, chain, parsing",7,2015.769
19,"fotografi, citra, segmentasi citra, citra asli, derau",10,2015.769
20,"haji, arab, hafal, doa, halal",8,2015.769
21,"udang, pakan, ikan, jaring, tambak",8,2015.769
24,"momentum, radial basis, basis function, mukim, radial",4,2015.769
25,"model kualitas, drum, integrity, jalan bisnis, kompetitor",8,2015.769
26,"emas, investasi, harga emas, tunas, hias",6,2015.769
27,"topologi, mesh, multipath, mobilitas, routing",11,2015.769
28,"vulnerability, iso, signature, aman information, traffic",2,2015.769
29,"miskin, terima bantu, tinggal, beras, rumah tangga",12,2015.769
30,"atm, monitoring evaluasi, barang usaha, komparasi, juli",3,2015.769
31,"anfis, fuzzy, fungsi anggota, tingkat potensi, komplain",13,2015.769
32,"file sharing, file, peertopeer, sharing, ukur file",19,2015.769
33,"kursus, bal, bahasa inggris, inggris, basa",3,2015.769
34,"pakan, sapi, susu, ternak, butuh nutrisi",15,2015.769
35,"reduction, apriori, parallel, pusat cluster, characteristics",4,2015.769
36,"robot, terbang, start, pid, attitude",9,2015.769
37,"hasil kembang, lunak bahasa, orm, yii, butuh tahap",1,2015.769
38,"lampu, smart home, home, cahaya, kendali lampu",11,2015.769
